cycle: 34; nrPreys: 36; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.07062625307997959; maxEnergyPredators: 1.0
cycle: 35; nrPreys: 34; minEnergyPreys: 0.9813725490196078; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.05062625307997959; maxEnergyPredators: 1.0
cycle: 36; nrPreys: 33; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.030626253079979588; maxEnergyPredators: 1.0
cycle: 37; nrPreys: 31; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.010626253079979588; maxEnergyPredators: 1.0
cycle: 38; nrPreys: 27; minEnergyPreys: 0.984313725490196; maxEnergyPreys: 1.0; nrPredators: 87; minEnergyPredators: 0.016630031314027547; maxEnergyPredators: 1.0
cycle: 39; nrPreys: 27; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 86; minEnergyPredators: 0.04644437792690717; maxEnergyPredators: 1.0
cycle: 40; nrPreys: 27; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 86; minEnergyPredators: 0.02644437792690717; maxEnergyPredators: 1.0
cycle: 41; nrPreys: 27; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 86; minEnergyPredators: 0.00644437792690717; maxEnergyPredators: 1.0
cycle: 42; nrPreys: 26; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.038476330858820976; maxEnergyPredators: 1.0
cycle: 43; nrPreys: 25; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 86; minEnergyPredators: 0.018476330858820975; maxEnergyPredators: 1.0
cycle: 44; nrPreys: 24; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.10525154822631237; maxEnergyPredators: 1.0
cycle: 45; nrPreys: 24; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.08525154822631237; maxEnergyPredators: 1.0
cycle: 46; nrPreys: 23; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.06525154822631236; maxEnergyPredators: 1.0
cycle: 47; nrPreys: 23; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.04525154822631236; maxEnergyPredators: 1.0
cycle: 48; nrPreys: 23; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.02525154822631236; maxEnergyPredators: 1.0
cycle: 49; nrPreys: 23; minEnergyPreys: 0.9970588235294117; maxEnergyPreys: 1.0; nrPredators: 85; minEnergyPredators: 0.0052515482263123595; maxEnergyPredators: 1.0
cycle: 50; nrPreys: 23; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 84; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 51; nrPreys: 22; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 83; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 52; nrPreys: 22; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 82; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 53; nrPreys: 22; minEnergyPreys: 0.9999999999999999; maxEnergyPreys: 1.0; nrPredators: 82; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 54; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 81; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 55; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 81; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 56; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 81; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 57; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 80; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 58; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 79; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 59; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 79; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 60; nrPreys: 21; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 77; minEnergyPredators: 0.015338882753273806; maxEnergyPredators: 1.0
cycle: 61; nrPreys: 20; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 76; minEnergyPredators: 0.029803921568626813; maxEnergyPredators: 1.0
cycle: 62; nrPreys: 20; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 76; minEnergyPredators: 0.009803921568626812; maxEnergyPredators: 1.0
cycle: 63; nrPreys: 20; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 74; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 64; nrPreys: 20; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 74; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 65; nrPreys: 18; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 74; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 66; nrPreys: 18; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 72; minEnergyPredators: 0.0472622499572522; maxEnergyPredators: 1.0
cycle: 67; nrPreys: 18; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 72; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 68; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 72; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 69; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 70; minEnergyPredators: 0.01999999999999905; maxEnergyPredators: 1.0
cycle: 70; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 69; minEnergyPredators: 0.019999999999999272; maxEnergyPredators: 1.0
cycle: 71; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 68; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 72; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 66; minEnergyPredators: 0.01823529411764627; maxEnergyPredators: 1.0
cycle: 73; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 64; minEnergyPredators: 0.022745098039214904; maxEnergyPredators: 1.0
cycle: 74; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 66; minEnergyPredators: 0.0027450980392149035; maxEnergyPredators: 1.0
cycle: 75; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 63; minEnergyPredators: 0.0015686274509794582; maxEnergyPredators: 1.0
cycle: 76; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 61; minEnergyPredators: 0.02647058823529307; maxEnergyPredators: 1.0
cycle: 77; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 61; minEnergyPredators: 0.006470588235293069; maxEnergyPredators: 1.0
cycle: 78; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 60; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 79; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 60; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 80; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 59; minEnergyPredators: 0.08392156862744969; maxEnergyPredators: 1.0
cycle: 81; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 59; minEnergyPredators: 0.06392156862744969; maxEnergyPredators: 1.0
cycle: 82; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 59; minEnergyPredators: 0.043921568627449684; maxEnergyPredators: 1.0
cycle: 83; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 59; minEnergyPredators: 0.023921568627449683; maxEnergyPredators: 1.0
cycle: 84; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 59; minEnergyPredators: 0.003921568627449683; maxEnergyPredators: 1.0
cycle: 85; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 58; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 86; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 58; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 87; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 58; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 88; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 57; minEnergyPredators: 0.019999999999999272; maxEnergyPredators: 1.0
cycle: 89; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 54; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 90; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 54; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 91; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 54; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 92; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 52; minEnergyPredators: 0.019999999999999272; maxEnergyPredators: 1.0
cycle: 93; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 50; minEnergyPredators: 0.0031372549019602; maxEnergyPredators: 1.0
cycle: 94; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 47; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 95; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 46; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 96; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 45; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 97; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 43; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 98; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 43; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 99; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 42; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 100; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 42; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 101; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 41; minEnergyPredators: 0.059999999999999276; maxEnergyPredators: 1.0
cycle: 102; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 41; minEnergyPredators: 0.03999999999999927; maxEnergyPredators: 1.0
cycle: 103; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 41; minEnergyPredators: 0.019999999999999272; maxEnergyPredators: 1.0
cycle: 104; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 40; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 105; nrPreys: 17; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 40; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 106; nrPreys: 16; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 38; minEnergyPredators: 0.07999999999999939; maxEnergyPredators: 1.0
cycle: 107; nrPreys: 16; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 38; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
